,name,price,quantity_sold,shop_name,url
52,"Áo khoác nam unisex cổ đứng vải dù 2 lớp phối màu độc lạ họa tiết chữ HEBFN đi mưa,cản gió,chống nắng BẢO ĐĂNG",99.000,"Đã bán 3,9k",,https://shopee.vn/Áo-khoác-nam-unisex-cổ-đứng-vải-dù-2-lớp-phối-màu-độc-lạ-họa-tiết-chữ-HEBFN-đi-mưa-cản-gió-chống-nắng-BẢO-ĐĂNG-i.70677296.20807652844?sp_atk=e3ec50af-c7b9-4cc2-9f2b-fba39502bd92&xptdk=e3ec50af-c7b9-4cc2-9f2b-fba39502bd92
53,Áo Khoác Dù NOCTURNAL Double Front Form Rộng Oversize Local Brand Nam Nữ Unisex Siêu Dày,350.000,"Đã bán 1,1k",,https://shopee.vn/Áo-Khoác-Dù-NOCTURNAL-Double-Front-Form-Rộng-Oversize-Local-Brand-Nam-Nữ-Unisex-Siêu-Dày-i.37144829.22013546383?sp_atk=ce7359dd-ded0-4385-a3b9-fe76cf26da0a&xptdk=ce7359dd-ded0-4385-a3b9-fe76cf26da0a
54,Áo Khoác bomber O.f.f White Ac Milan Varsity Jacket Áo bomber jacket OW x AC Milan kunshopunisex,349.000,Đã bán 513,,https://shopee.vn/Áo-Khoác-bomber-O.f.f-White-Ac-Milan-Varsity-Jacket-Áo-bomber-jacket-OW-x-AC-Milan-kunshopunisex-i.133725512.22113170914?sp_atk=849a6c53-b77c-4199-a8f1-51138ddfcf77&xptdk=849a6c53-b77c-4199-a8f1-51138ddfcf77
55,Áo Khoác gió Nam Nữ – ÁO KHOÁC Gió 2 Lớp Unisex Nam Nữ (Ảnh Thật/như hình) KD35,79.000,"Đã bán 3,1k",,https://shopee.vn/Áo-Khoác-gió-Nam-Nữ-–-ÁO-KHOÁC-Gió-2-Lớp-Unisex-Nam-Nữ-(Ảnh-Thật-như-hình)-KD35-i.460257458.18000813925?sp_atk=82885708-260e-47e2-a8c2-4fb4f012a93d&xptdk=82885708-260e-47e2-a8c2-4fb4f012a93d
56,Áo Khoác Thể Thao ba Sọc Nam Nữ Thun Poly dày dặn,109.000,Đã bán 10k,,https://shopee.vn/Áo-Khoác-Thể-Thao-ba-Sọc-Nam-Nữ-Thun-Poly-dày-dặn-i.807276554.19034000188?sp_atk=a43de037-fa8c-42af-95c4-31c1a17e713d&xptdk=a43de037-fa8c-42af-95c4-31c1a17e713d
57,Áo Khoác Dù TMS LOGO MIDSIDE Nam Nữ Ulzzang Unisex Form Rộng Bomber 7zia Jacket - Sayhey Clothing,89.000,"Đã bán 42,4k",,https://shopee.vn/Áo-Khoác-Dù-TMS-LOGO-MIDSIDE-Nam-Nữ-Ulzzang-Unisex-Form-Rộng-Bomber-7zia-Jacket-Sayhey-Clothing-i.160438961.4490494023?sp_atk=224704c3-309c-49ec-b5bc-189b613aba41&xptdk=224704c3-309c-49ec-b5bc-189b613aba41
58,"Áo thun tay lỡ unisex SADTAGRAM TEE - Áo phông F&amp;S nam nữ form rộng cho cặp đôi vải dày dặn, thoáng mát",41.900,"Đã bán 42,7k",,https://shopee.vn/Áo-thun-tay-lỡ-unisex-SADTAGRAM-TEE-Áo-phông-F-S-nam-nữ-form-rộng-cho-cặp-đôi-vải-dày-dặn-thoáng-mát-i.13402666.16653489002?sp_atk=5dbb0206-f68e-42d4-91e4-1d31da8f8469&xptdk=5dbb0206-f68e-42d4-91e4-1d31da8f8469
59,"Áo Khoác dạ Hàn Quốc, Nam nữ, dáng dài trơn phong cách trẻ trung, lịch lãm với chất dạ đẹp, dày dặn",155.000,Đã bán 76,,https://shopee.vn/Áo-Khoác-dạ-Hàn-Quốc-Nam-nữ-dáng-dài-trơn-phong-cách-trẻ-trung-lịch-lãm-với-chất-dạ-đẹp-dày-dặn-i.603370680.19673651042?sp_atk=55b09d03-a2fe-41b3-ad82-b12fe99dff89&xptdk=55b09d03-a2fe-41b3-ad82-b12fe99dff89
60,Áo Cardigan Nam Áo Khoác Ngoài Chất Liệu Dày Dặn Sang Trọng,119.000,"Đã bán 14,1k",,https://shopee.vn/Áo-Cardigan-Nam-Áo-Khoác-Ngoài-Chất-Liệu-Dày-Dặn-Sang-Trọng-i.157167248.4780773429?sp_atk=72c562ac-8bda-46d1-b488-a7ec4bfc8f28&xptdk=72c562ac-8bda-46d1-b488-a7ec4bfc8f28
61,"ÁO KHOÁC NỈ CÓ DÂY KÉO, THIẾT KẾ HỌA TIẾT HỢP THỜI TRANG  you and dog",89.000,Đã bán 463,,https://shopee.vn/ÁO-KHOÁC-NỈ-CÓ-DÂY-KÉO-THIẾT-KẾ-HỌA-TIẾT-HỢP-THỜI-TRANG-you-and-dog-i.66198898.18748814122?sp_atk=ea1fa974-f44f-43e4-973d-6c496d49e5f5&xptdk=ea1fa974-f44f-43e4-973d-6c496d49e5f5
62,"Áo khoác ngoài, áo gió chống nước chống gió 2 lớp mỏng form rộng phong cách Hàn Quốc",159.000,"Đã bán 14,3k",,https://shopee.vn/Áo-khoác-ngoài-áo-gió-chống-nước-chống-gió-2-lớp-mỏng-form-rộng-phong-cách-Hàn-Quốc-i.40021101.12317141054?sp_atk=f7a264b3-96c7-4a10-a41f-afba6adc8f4d&xptdk=f7a264b3-96c7-4a10-a41f-afba6adc8f4d
